arpabet, katakana
'AA0',　ア:オ
'AA1',　ア:オ
'AA2',　ア:オ
'AE0',　ア
'AE1',　ア
'AE2',　ア
'AH0',　エ:ア
'AH1',　ア
'AH2',　ア
'AO0',　オ
'AO1',　オ
'AO2',　オ
'AW1',　アウ
'AW2',　アウ
'AY0',　バイ
'AY1',　バイ
'AY2',　バイ
'B',　ボ
'B AA0',　バ:ボ
'B AA1',　バ:ボ
'B AA2',　バ:ボ
'B AE0',　バ
'B AE1',　バ
'B AE2',　バ
'B AH0',　ベ:バ
'B AH1',　バ
'B AH2',　バ
'B AO0',　ボ
'B AO1',　ボ
'B AO2',　ボ
'B AW1',　バウ
'B AY0',　バイ
'B AY1',　バイ
'B AY2',　バイ
'B EH0',　ベ
'B EH1',　ベ
'B EH2',　ベ
'B ER0',　バ
'B ER1',　バ
'B ER2',　バ
'B EY0',　ベ
'B EY1',　ベ
'B EY2',　ベ
'B IH0',　ビ
'B IH1',　ビ
'B IY0',　ビ
'B IY1',　ビ
'B IY2',　ビ
'B OW0',　ボ
'B OW1',　ボ
'B OW2',　ボ
'B OY1',　ボイ
'B OY2',　ボイ
'B UH0',　ブ
'B UH1',　ブ
'B UH2',　ブ
'B UW0',　ブ
'B UW1',　ブ
'CH',  ッチ
'CH AA0',　チャ:チョ
'CH AA1',　チャ:チョ
'CH AE1',　チャ:チョ
'CH AH0',　チェ:チャ
'CH AH1',　チャ
'CH AH1',　チャ
'CH AO0',　チョ
'CH AO1',　チョ
'CH AO2',　チョ
'CH AY0',　チャイ
'CH AY1',　チャイ
'CH AW1',　チャウ
'CH EH1',　チェ
'CH ER0',　チェ
'CH EY1',　チェ
'CH IH0',　チ
'CH IH1',　チ
'CH IH2',　チ
'CH IY0',　チ
'CH IY1',　チ
'CH IY2',　チ
'CH OW1',　チョ
'CH OY1',　チョイ
'CH UW0',　チュ
'CH UW1',　チュ
'CH UW2',　チュ
'D',　ド
'D AA1',　ダ:ド
'D AA2',　ダ:ド
'D AE1',　ダ:ド
'D AE2',　デ
'D AH0',　デ:ダ
'D AH1',　ダ
'D AH2',　ダ
'D AO1',　ド
'D AO2',　ド
'D AW1',　ダウ
'D AW2',　ダウ
'D AY0',　ダ
'D AY1',　ダ
'D AY2',　ダ
'D EH0',　デ
'D EH1',　デ
'D EH2',　デ
'D ER0',　ダ
'D ER1',　ダ
'D EY0',　デ
'D EY1',　デ
'D EY2',　デ
'D IH0',　ヂ
'D IH1',　ヂ
'D IH2',　ヂ
'D IY0',　ヂ
'D IY1',　ヂ
'D IY2',　ヂ
'D OW0',　ド
'D OW1',　ド
'D OW2',　ド
'D OY1',　ドイ
'D UH1',　づ:ド
'D UW0',　づ:ド
'D UW1',　づ:ド
'DH',　ド
'DH AE1',　デャ
'DH AH0',　デェ:デャ
'DH AH1',　デャ
'DH AH2',　デャ
'DH AW1',　デャウ
'DH AY1',　デャイ
'DH EH1',　デ
'DH ER0',　ダ
'DH EY1',　デェ
'DH IH0',　ヂ
'DH IH1',　ヂ
'DH IY0',　ヂ
'DH IY1',　ヂ
'DH OW1',　ド
'DH UH1',　づ:ド
'DH UW1',　づ:ド
'EH0',　エ
'EH1',　エ
'EH2',　エ
'ER0',　ア
'ER1',　ア
'EY0',　エ
'EY1',　エ
'EY2',　エ
'F',　フ
'F AA0',　ファ:フォ
'F AA1',　ファ:フォ
'F AA2',　ファ:フォ
'F AE1',　ファ
'F AE2',　ファ
'F AH0',　フェ:ファ
'F AH1',　ファ
'F AH2',　ファ
'F AO0',　フォ
'F AO1',　フォ
'F AO2',　フォ
'F AW0',　ファウ
'F AW1',　ファウ
'F AY0',　ファイ
'F AY1',　ファイ
'F AY2',　ファイ
'F EH0',　フェ
'F EH1',　フェ
'F EH2',　フェ
'F ER0',　ファ
'F ER1',　ファ
'F EY1',　フェ
'F EY2',　フェ
'F IH0',　フィ
'F IH1',　フィ
'F IH2',　フィ
'F IY0',　フィ
'F IY1',　フィ
'F IY2',　フィ
'F OW0',　フォ
'F OW1',　フォ
'F OW2',　フォ
'F OY0',　フォイ
'F OY1',　フォイ
'F OY2',　フォイ
'F UH0',　フ
'F UH1',　フ
'F UW0',　フ
'F UW1',　フ
'F UW2',　フ
'G',　グ
'G AA0',　ガ:ゴ
'G AA1',　ガ:ゴ
'G AA2',　ガ:ゴ
'G AE1',　ガ
'G AH0',　ゲ:ガ
'G AH1',　ガ
'G AH2',　ガ
'G AO1',　ゴ
'G AY1',　ガイ
'G AY2',　ガイ
'G AW0',　ガウ
'G EH1',　ゲ
'G EH2',　ゲ
'G ER0',　ガ
'G ER1',　ガ
'G EY0',　ゲ
'G EY1',　ゲ
'G EY2',　ゲ
'G IH0',　ギ
'G IH1',　ギ
'G IH2',　ギ
'G IY0',　ギ
'G IY1',　ギ
'G IY2',　ギ
'G OW0',　ゴ
'G OW1',　ゴ
'G OY1',　ゴイ
'G OW2',　ゴ
'G UH1',　グ
'G UW0',　グ
'G UW1',　グ
'HH',　-
'HH AA0',　ハ:ホ
'HH AA1',　ハ:ホ
'HH AA2',　ハ:ホ
'HH AE1',　ハ
'HH AH0',　ヘ:ハ
'HH AH1',　ハ
'HH AH2',　ハ
'HH AO1',　ホ
'HH AW1',　ハウ
'HH AW2',　ハウ
'HH AY0',　ハイ
'HH AY1',　ハイ
'HH EH0',　ヘ
'HH EH1',　ヘ
'HH EH2',　ヘ
'HH ER0',　ハ
'HH ER1',　ハ
'HH EY1',　ヘ
'HH EY2',　ヘ
'HH IH0',　ヒ
'HH IH1',　ヒ
'HH IH2',　ヒ
'HH IY0',　ヒ
'HH IY1',　ヒ
'HH OY1',　ホイ
'HH OW0',　ホ
'HH OW1',　ホ
'HH OW2',　ホ
'HH UH1',　フ
'HH UW0',　フ
'HH UW1',　フ
'HH UW2',　フ
'IH0',　イ
'IH1',　イ
'IH2',　イ
'IY0',　イ
'IY1',　イ
'IY2',　イ
'JH',　ジ
'JH AA1',　ジャ:ジョ
'JH AE1',　ジャ:ジョ
'JH AE2',　ジャ:ジョ
'JH AH0',　ジェ:ジャ
'JH AH1',　ジャ
'JH AH2',　ジャ
'JH AO1',　ジョ
'JH AY0',　ジャイ
'JH AY1',　ジャイ
'JH EH0',　ジェ
'JH EH1',　ジェ
'JH EH2',　ジェ
'JH ER0',　ジャ
'JH ER1',　ジャ
'JH EY1',　ジェイ
'JH IH0',　ジ
'JH IH1',　ジ
'JH IY0',　ジ
'JH IY1',　ジ
'JH OW1',　ジョ
'JH OY1',　ジョイ
'JH UH0',　ジュ
'JH UW0',　ジュ
'JH UW1',　ジウ
'K',　ク
'K AA0',　カ:コ
'K AA1',　カ:コ
'K AA2',　カ:コ
'K AE0',　カ
'K AE1',　カ
'K AE2',　カ
'K AH0',　ケ:カ
'K AH1',　カ
'K AH2',　カ
'K AO0',　コ
'K AO1',　コ
'K AO2',　コ
'K AW0',　カウ
'K AW1',　カウ
'K AW2',　カウ
'K AY1',　カイ
'K AY2',　カイ
'K EH1',　ケ
'K EH2',　ケ
'K ER0',　カ
'K ER1',　カ
'K EY0',　ケ
'K EY1',　ケ
'K EY2',　ケ
'K IH0',　キ
'K IH1',　キ
'K IH2',　キ
'K IY0',　キ
'K IY1',　キ
'K IY2',　キ
'K OW0',　コ
'K OW1',　コ
'K OW2',　コ
'K OY1',　コイ
'K UH0',　ク
'K UH1',　ク
'K UW0',　ク
'K UW1',　ク
'K UW2',　ク
'L',　ル
'L AA1',　ラ:ロ
'L AA2',　ラ:ロ
'L AE1',　ラ:ロ
'L AE2',　ラ
'L AH0',　レ:ラ
'L AH1',　ラ
'L AH2',　ラ
'L AO0',　ロ
'L AO1',　ロ
'L AO2',　ロ
'L AW1',　ラウ
'L AW2',　ラウ
'L AY0',　ライ
'L AY1',　ライ
'L AY2',　ライ
'L EH0',　レ
'L EH1',　レ
'L EH2',　レ
'L ER0',　ラ
'L ER1',　ラ
'L EY0',　レ
'L EY1',　レ
'L EY2',　レ
'L IH0',　リ
'L IH1',　リ
'L IH2',　リ
'L IY0',　リ
'L IY1',　リ
'L IY2',　リ
'L OW0',　ロ
'L OW1',　ロ
'L OW2',　ロ
'L OY1',　ロイ
'L OY2',　ロイ
'L UH1',　ル
'L UH2',　ル
'L UW0',　ル
'L UW1',　ル
'L UW2',　ル
'M',　ム
'M AA0',　マ:モ
'M AA1',　マ:モ
'M AA2',　マ:モ
'M AE0',　マ
'M AE1',　マ
'M AE2',　マ
'M AH0',　メ:マ
'M AH1',　マ
'M AH2',　マ
'M AO0',　モ
'M AO1',　モ
'M AW1',　マウ
'M AW2',　マウ
'M AY0',　マイ
'M AY1',　マイ
'M AY2',　マイ
'M EH0',　メ
'M EH1',　メ
'M EH2',　メ
'M ER0',　マ
'M ER1',　マ
'M EY0',　メ
'M EY1',　メ
'M EY2',　メ
